,title,URL,Category,Goal,Total raised,Pct Original Goal,successful
0,GlenWyvis Distillery,https://www.crowdfunder.co.uk/glenwyvis-distillery,Community,1496594.1176470588,2544210,170.0,True
1,Aberdeen Community Energy - Donside Hydro,https://www.crowdfunder.co.uk/ace,Community,500000.0,500000,100.0,True
2,"Save The New Inn, Norton Lindsey",https://www.crowdfunder.co.uk/save-the-new-inn-norton-lindsey,Community,300000.0,342000,114.0,True
3,Perranporth Community Pool,https://www.crowdfunder.co.uk/perranporth-community-pool-1,Community,250321.99999999997,250322,100.0,True
4,Save The Bromley Cross,https://www.crowdfunder.co.uk/save-the-bromley-cross,Community,210398.0198019802,212502,101.0,True
5,The Clipper Share Offer,https://www.crowdfunder.co.uk/clippershares,Community,200735.29411764705,204750,102.0,True
6,Save The Duke Community Shares,https://www.crowdfunder.co.uk/savetheduke,Community,316500.0,183570,58.0,False
7,Action For Cabbies - Black Cabbies v TfL,https://www.crowdfunder.co.uk/action-for-cabbies,Community,302211.6279069768,129951,43.0,False
8,Help Grimsby Town achieve Operation Promotion,https://www.crowdfunder.co.uk/GTFC,Community,19998.741007194243,111193,556.0,True
9,Support vulnerable children this winter,https://www.crowdfunder.co.uk/give-the-gift-of-christmas,Community,100051.376146789,109056,109.0,True
10,Stop Funding Hate,https://www.crowdfunder.co.uk/stop-funding-hate,Community,49987.03703703704,107972,216.0,True
11,Chris Tester Urgent Appeal,https://www.crowdfunder.co.uk/chris-tester-urgent-appeal,Community,89676.66666666667,107612,120.0,True
12,London LGBTQ+ Community Centre,https://www.crowdfunder.co.uk/londonlgbtqcentre,Community,50020.0,102541,205.0,True
13,What really matters in life? #HappierWorld,https://www.crowdfunder.co.uk/create-a-happier-world,Community,35048.26388888889,100939,288.0,True
14,Community Shares - Fair Trade Sports Balls Limited,https://www.crowdfunder.co.uk/fair-trade-sports-balls,Community,150000.0,100500,67.0,False
15,#bikes4swansea,https://www.crowdfunder.co.uk/bikes4swansea,Community,53305.85106382979,100215,188.0,True
16,Penicuik Storehouse,https://www.crowdfunder.co.uk/penicuik-storehouse,Community,82075.89285714286,91925,112.0,True
17,Friends of Herne Hill Velodrome - The Big Finish,https://www.crowdfunder.co.uk/thebigfinish,Community,74944.53781512605,89184,119.0,True
18,Support Caroline Lucas to get a People’s Vote,https://www.crowdfunder.co.uk/support-caroline-lucas-to-get-a-peoples-vote,Community,49933.526011560694,86385,173.0,True
19,Save the Ploughshare,https://www.crowdfunder.co.uk/save-the-ploughshare,Community,100559.5238095238,84470,84.0,False
20,HERA ARTS AND HEALTH PROJECT,https://www.crowdfunder.co.uk/hera,Community,102058.75,81647,80.0,False
21,Stop Funding Hate,https://www.crowdfunder.co.uk/stop-funding-hate-next-level,Community,39925.87064676617,80251,201.0,True
22,moy hill community farm,https://www.crowdfunder.co.uk/moy-hill-farm,Community,309316.0,77329,25.0,False
23,Station South Restoration and Cycle Café,https://www.crowdfunder.co.uk/station-south,Community,50045.86466165413,66561,133.0,True
24,Be part of a New Chapter in the Story of Mr B's,https://www.crowdfunder.co.uk/mrbs,Community,44904.92957746479,63765,142.0,True
25,Pitch In for Cheltenham Tigers,https://www.crowdfunder.co.uk/tigers,Community,54877.47747747748,60914,111.0,True
26,Mcr's first waste food catering social enterprise!,https://www.crowdfunder.co.uk/openkitchenmcr,Community,49915.51724137931,57902,116.0,True
27,ActForTheAct,https://www.crowdfunder.co.uk/actfortheact,Community,49883.92857142857,55870,112.0,True
28,'I am an Immigrant'  Poster Campaign,https://www.crowdfunder.co.uk/i-am-an-immigrant-poster-campaign,Community,43984.55284552846,54101,123.0,True
29,"Learn, Work & Grow together at Bridgend Farmhouse",https://www.crowdfunder.co.uk/bridgendfarmhouse,Community,49947.11538461539,51945,104.0,True
